"var1","var2"
"1","H. bihai",47.12
"2","H. bihai",46.75
"3","H. bihai",46.81
"4","H. bihai",47.12
"5","H. bihai",46.67
"6","H. bihai",47.43
"7","H. bihai",46.44
"8","H. bihai",46.64
"9","H. bihai",48.07
"10","H. bihai",48.34
"11","H. bihai",48.15
"12","H. bihai",50.26
"13","H. bihai",50.12
"14","H. bihai",46.34
"15","H. bihai",46.94
"16","H. bihai",48.36
"17","H.caribaea red",41.9
"18","H.caribaea red",42.01
"19","H.caribaea red",41.93
"20","H.caribaea red",43.09
"21","H.caribaea red",41.47
"22","H.caribaea red",41.69
"23","H.caribaea red",39.78
"24","H.caribaea red",40.57
"25","H.caribaea red",39.63
"26","H.caribaea red",42.18
"27","H.caribaea red",40.66
"28","H.caribaea red",37.87
"29","H.caribaea red",39.16
"30","H.caribaea red",37.4
"31","H.caribaea red",38.2
"32","H.caribaea red",38.07
"33","H.caribaea red",38.1
"34","H.caribaea red",37.97
"35","H.caribaea red",38.79
"36","H.caribaea red",38.23
"37","H.caribaea red",38.87
"38","H.caribaea red",37.78
"39","H.caribaea red",38.01
"40","H.caribaea yellow",36.78
"41","H.caribaea yellow",37.02
"42","H.caribaea yellow",36.52
"43","H.caribaea yellow",36.11
"44","H.caribaea yellow",36.03
"45","H.caribaea yellow",35.45
"46","H.caribaea yellow",38.13
"47","H.caribaea yellow",37.1
"48","H.caribaea yellow",35.17
"49","H.caribaea yellow",36.82
"50","H.caribaea yellow",36.66
"51","H.caribaea yellow",35.68
"52","H.caribaea yellow",36.03
"53","H.caribaea yellow",34.57
"54","H.caribaea yellow",NA
